                                                                                                                                                                                                                                                                
                        1                         2                         3                         4                         5                         6                         7
                 Re(freq)                  Im(freq)                freq_units                         l                      n_pg                 Re(omega)                 Im(omega)
  0.5868842084554447E+001   0.0000000000000000E+000 CYC_PER_DAY                                       1                        -5   0.3101798217990401E+001   0.0000000000000000E+000
                        1                         2                         3                         4                         5
                        x                  Re(xi_h)                  Im(xi_h)                  Re(xi_r)                  Im(xi_r)
  0.3735880068831735E-001   0.2008797799615779E+000   0.0000000000000000E+000  -0.4726637283570663E+000   0.0000000000000000E+000
  0.3744074485104787E-001   0.2176881392831301E+000   0.0000000000000000E+000  -0.4703565665061585E+000   0.0000000000000000E+000
  0.3752207947879679E-001   0.2352364859418977E+000   0.0000000000000000E+000  -0.4680054124830500E+000   0.0000000000000000E+000
  0.3760341410654570E-001   0.2539524819609534E+000   0.0000000000000000E+000  -0.4655893018685101E+000   0.0000000000000000E+000
  0.3768474873429463E-001   0.2738130978625333E+000   0.0000000000000000E+000  -0.4631034673025771E+000   0.0000000000000000E+000
  0.3776608336204355E-001   0.2943167941357958E+000   0.0000000000000000E+000  -0.4605443214252304E+000   0.0000000000000000E+000
  0.3784773005876766E-001   0.3147293014080539E+000   0.0000000000000000E+000  -0.4579010436019693E+000   0.0000000000000000E+000
  0.3792937675549177E-001   0.3344546162316623E+000   0.0000000000000000E+000  -0.4551857128218191E+000   0.0000000000000000E+000
  0.3801074529530091E-001   0.3524760312889583E+000   0.0000000000000000E+000  -0.4524127983674762E+000   0.0000000000000000E+000
  0.3809211383511005E-001   0.3675486273201758E+000   0.0000000000000000E+000  -0.4495842185352487E+000   0.0000000000000000E+000
  0.3817305104342460E-001   0.3819873771954054E+000   0.0000000000000000E+000  -0.4467241454912646E+000   0.0000000000000000E+000
  0.3825398825173915E-001   0.3982687809198875E+000   0.0000000000000000E+000  -0.4438145943716114E+000   0.0000000000000000E+000
  0.3833492546005370E-001   0.4173247702516905E+000   0.0000000000000000E+000  -0.4408456975681590E+000   0.0000000000000000E+000
  0.3841586266836825E-001   0.4389155623634028E+000   0.0000000000000000E+000  -0.4378062206187728E+000   0.0000000000000000E+000
  0.3849700802875033E-001   0.4620109908144777E+000   0.0000000000000000E+000  -0.4346799695779308E+000   0.0000000000000000E+000
  0.3857815338913242E-001   0.4858604635252332E+000   0.0000000000000000E+000  -0.4314706886932961E+000   0.0000000000000000E+000
  0.3865929874951450E-001   0.5101227629248702E+000   0.0000000000000000E+000  -0.4281764601696885E+000   0.0000000000000000E+000
  0.3874044410989658E-001   0.5346469053169584E+000   0.0000000000000000E+000  -0.4247964203315816E+000   0.0000000000000000E+000
  0.3882115122288156E-001   0.5593033243297244E+000   0.0000000000000000E+000  -0.4213489498065694E+000   0.0000000000000000E+000
  0.3890185833586653E-001   0.5842073392769260E+000   0.0000000000000000E+000  -0.4178154047196641E+000   0.0000000000000000E+000
  0.3898256544885151E-001   0.6092258802865640E+000   0.0000000000000000E+000  -0.4141954797720294E+000   0.0000000000000000E+000
  0.3906327256183648E-001   0.6341164415721264E+000   0.0000000000000000E+000  -0.4104896525413139E+000   0.0000000000000000E+000
  0.3914423088850445E-001   0.6586772704183842E+000   0.0000000000000000E+000  -0.4066876150280646E+000   0.0000000000000000E+000
  0.3922518921517242E-001   0.6827583091225791E+000   0.0000000000000000E+000  -0.4028031377768401E+000   0.0000000000000000E+000
  0.3930614754184039E-001   0.7063524898878137E+000   0.0000000000000000E+000  -0.3988386587320177E+000   0.0000000000000000E+000
  0.3938710586850836E-001   0.7294584400407000E+000   0.0000000000000000E+000  -0.3947965966199414E+000   0.0000000000000000E+000
  0.3946767160723351E-001   0.7523729920463329E+000   0.0000000000000000E+000  -0.3906990629555717E+000   0.0000000000000000E+000
  0.3954823734595866E-001   0.7767952874013416E+000   0.0000000000000000E+000  -0.3865242139665251E+000   0.0000000000000000E+000
  0.3962880308468381E-001   0.8035775226142519E+000   0.0000000000000000E+000  -0.3822642072465917E+000   0.0000000000000000E+000
  0.3970936882340896E-001   0.8324139426816491E+000   0.0000000000000000E+000  -0.3779101838521609E+000   0.0000000000000000E+000
  0.3979027192447165E-001   0.8622500527632454E+000   0.0000000000000000E+000  -0.3734377198660866E+000   0.0000000000000000E+000
  0.3987117502553434E-001   0.8920656361351391E+000   0.0000000000000000E+000  -0.3688638714653047E+000   0.0000000000000000E+000
  0.3995207812659703E-001   0.9215516050529683E+000   0.0000000000000000E+000  -0.3641900433650309E+000   0.0000000000000000E+000
  0.4003298122765972E-001   0.9508843700135483E+000   0.0000000000000000E+000  -0.3594178784580492E+000   0.0000000000000000E+000
  0.4011363856119715E-001   0.9806273479928768E+000   0.0000000000000000E+000  -0.3545622868169007E+000   0.0000000000000000E+000
  0.4019429589473458E-001   0.1011627333330930E+001   0.0000000000000000E+000  -0.3496057219957430E+000   0.0000000000000000E+000
  0.4027495322827201E-001   0.1043892866748762E+001   0.0000000000000000E+000  -0.3445433937873024E+000   0.0000000000000000E+000
  0.4035561056180945E-001   0.1076617244652003E+001   0.0000000000000000E+000  -0.3393722171189112E+000   0.0000000000000000E+000
  0.4043674426087437E-001   0.1105974986987249E+001   0.0000000000000000E+000  -0.3340649523275656E+000   0.0000000000000000E+000
  0.4051787795993928E-001   0.1125204953784279E+001   0.0000000000000000E+000  -0.3286828727381649E+000   0.0000000000000000E+000
  0.4059883942381871E-001   0.1143258849243689E+001   0.0000000000000000E+000  -0.3232649921984777E+000   0.0000000000000000E+000
  0.4067980088769815E-001   0.1168548689147390E+001   0.0000000000000000E+000  -0.3177836395127145E+000   0.0000000000000000E+000
  0.4076065052988777E-001   0.1197223279090989E+001   0.0000000000000000E+000  -0.3122235038835279E+000   0.0000000000000000E+000
  0.4080107535098258E-001   0.1211885922569876E+001   0.0000000000000000E+000  -0.3094088384014356E+000   0.0000000000000000E+000
  0.4084150017207740E-001   0.1226609491760159E+001   0.0000000000000000E+000  -0.3065707965856369E+000   0.0000000000000000E+000
  0.4088192499317221E-001   0.1241317567942818E+001   0.0000000000000000E+000  -0.3037093930481856E+000   0.0000000000000000E+000
